HIC11490.centrep
name                                                      taxID    taxRank     genomeSize  numReads  numUniqueReads  abundance
Homo sapiens                                              9606     species     3238442024  130237    92111           0.376159
synthetic construct                                       32630    species     26537524    4940      4389            0.00277492
Serratia marcescens                                       615      species     5135686     83        22              0.0887262
Pseudomonas aeruginosa                                    287      species     6506218     60        34              0.16571
Serratia sp. FS14                                         1327989  species     5249875     52        15              0
Serratia marcescens WW4                                   435998   leaf        5244703     51        11              0.0219487
Serratia marcescens subsp. marcescens Db11                273526   leaf        5113802     37        23              0.0372055
[Enterobacter] aerogenes                                  548      species     5435727     33        7               0.0441509
Enterobacter aerogenes KCTC 2190                          1028307  leaf        5280350     30        21              0.0866672
Serratia sp. SCBI                                         488142   species     5101896     26        9               2.32164e-13
HIC11490.centrep
name                                                      taxID    taxRank     genomeSize  numReads  numUniqueReads  abundance
Homo sapiens                                              9606     species     3238442024  130237    92111           0.376159
synthetic construct                                       32630    species     26537524    4940      4389            0.00277492
Serratia marcescens                                       615      species     5135686     83        22              0.0887262
Pseudomonas aeruginosa                                    287      species     6506218     60        34              0.16571
Serratia sp. FS14                                         1327989  species     5249875     52        15              0
Serratia marcescens WW4                                   435998   leaf        5244703     51        11              0.0219487
Serratia marcescens subsp. marcescens Db11                273526   leaf        5113802     37        23              0.0372055
[Enterobacter] aerogenes                                  548      species     5435727     33        7               0.0441509
Enterobacter aerogenes KCTC 2190                          1028307  leaf        5280350     30        21              0.0866672
Serratia sp. SCBI                                         488142   species     5101896     26        9               2.32164e-13
HIC11491.centrep
name                                                      taxID    taxRank     genomeSize  numReads  numUniqueReads  abundance
Chromobacterium violaceum ATCC 12472                      243365   leaf        4751080     71603     71181           0.999933
synthetic construct                                       32630    species     26537524    885       806             0.0
Homo sapiens                                              9606     species     3238442024  769       570             5.86425e-07
Chromobacterium vaccinii                                  1108595  species     5041230     337       82              2.73794e-19
Pseudogulbenkiania sp. NH8B                               748280   species     4332995     22        1               0.0
[Enterobacter] aerogenes                                  548      species     5435727     6         1               2.91145e-05
Collimonas pratensis                                      279113   species     11315924    6         0               0.0
Enterobacter aerogenes KCTC 2190                          1028307  leaf        5280350     5         2               0
Chromobacterium                                           535      genus       4751080     4         0               0.0
Bradyrhizobium sp. BTAi1                                  288000   species     8493513     4         4               3.72657e-05
HIC11492.centrep
name                                                      taxID    taxRank     genomeSize  numReads  numUniqueReads  abundance
Homo sapiens                                              9606     species     3238442024  231912    165299          1
synthetic construct                                       32630    species     26537524    1033      766             4.0035e-12
Serratia marcescens                                       615      species     5135686     2         1               0.0
Enterobacter aerogenes KCTC 2190                          1028307  leaf        5280350     2         2               0.0
Shigella flexneri 5 str. 8401                             373384   leaf        4574284     1         0               0.0
Shigella flexneri 1a                                      374923   leaf        4853344     1         0               0.0
Shigella boydii CDC 3083-94                               344609   leaf        4874659     1         0               0.0
Serratia sp. YD25                                         1759437  species     5117644     1         0               0.0
Serratia sp. FS14                                         1327989  species     5249875     1         0               0.0
Serratia marcescens WW4                                   435998   leaf        5244703     1         0               0.0
HIC11493.centrep
name                                                      taxID    taxRank     genomeSize  numReads  numUniqueReads  abundance
Homo sapiens                                              9606     species     3238442024  245330    179729          0.580294
synthetic construct                                       32630    species     26537524    7134      5522            0.0238976
Escherichia coli                                          562      species     7253110     112       42              0.249129
Shigella sp. PAMC 28760                                   1813821  species     4558287     48        0               1.20085e-12
Shigella sonnei                                           624      species     5137894     28        0               9.78941e-20
Shigella flexneri                                         623      species     4787214     14        0               0
Bradyrhizobium sp. BTAi1                                  288000   species     8493513     14        14              0.0531865
